	id	filename	md5	size	state
0	5fb1cf1c-2eb6-43b4-b192-61c2dbbfc82d	TCGA-IB-7654-01A-01-TS1.9e50a35d-2dd1-424e-bb06-2781c7ce9214.svs	b57dbc32c0e461af1934db2f64a2de6f	63299443	released
1	5f0d084d-a1b6-40bb-91c7-7d5f906fab4a	TCGA-IB-7654-01A-01-BS1.f6a696ba-59e3-4214-bee0-a71f262ed97b.svs	44622c3bc2035baa6d2b202503daf7e2	470500219	released
2	8e748bd9-f5bf-4be9-ae06-97a2b279bf8c	TCGA-HZ-7918-01A-01-TS1.cfaa5c74-f882-4b31-9c70-31bc9359d9a5.svs	d6c96ba3288d0d6ba95d9ba38352a669	116852373	released
4	c06b8258-edf0-465f-8f4b-e98205f239b6	TCGA-HZ-7289-01A-01-TS1.0be7bc7c-60a1-45e2-987f-a904a0d3f925.svs	7f054ab0645fae07834a57bb355188c2	61089767	released
6	fa9fd02f-fe0d-4b40-a876-d13bec857c49	TCGA-HZ-8638-01A-01-TS1.e5ca2e1c-fa4d-4ccc-bcff-40797a74e97e.svs	d2bcad3dd7d9548416640d793621eb4b	143383933	released
9	4bbbb74c-8988-41fc-9210-c6c28f881338	TCGA-F2-6880-01A-01-BS1.b7d83e83-8ce8-41dd-bfe8-6ab97f9e5c01.svs	dc407420b13fca95176ca27fd20e5e04	77513335	released
14	e5c7da8a-42f6-4211-bfc4-5abb1a50dff6	TCGA-IB-7647-01A-01-TS1.60574eeb-7935-4607-9ca8-5e1c21684ea5.svs	c5b12fed9d1106fc500aa99c98250d0d	8390593	released
22	abe4e122-2086-4334-a91f-2dedca9774ab	TCGA-IB-7886-01A-01-BS1.8e4e1936-856b-4ad0-9982-69018059f984.svs	80979f3a92c3b6e59d64100cb15e0461	493100339	released
26	8fd9c78d-6243-49c0-a01a-dadb24c374ce	TCGA-IB-7886-01A-01-TS1.36a57c3f-f313-4e3d-a641-96bcab3c93fd.svs	f6d4279e0cc1caafb59703a05725f2a6	447711041	released
27	68cdf830-a964-4723-9d33-ffc26a0367ee	TCGA-HZ-7919-01A-01-BS1.895c1ff3-4742-4404-881d-cbf21ee0f861.svs	8d0db3dd5550b73672a31c6cd4fce957	104435427	released
30	e1bf45da-c74c-4878-a65d-e9a45f25fe5e	TCGA-IB-7651-01A-01-TS1.93957f30-932b-4a10-a325-d5eaeaf990a5.svs	21f581610a9ddd21cbe81dbdd7ee96e0	55081725	released
31	9394b7fe-cf0a-4383-bccf-632f9d5124b1	TCGA-IB-7897-01A-01-BS1.9197f1df-7c2a-417c-aef4-6f73c0024586.svs	6296f034da6767968c21ec5c4dbb8a5b	518741105	released
32	6d888833-747a-451d-a685-d08699650815	TCGA-IB-8127-01A-01-BS1.4fb98a3b-3bc8-45b7-89d1-764384c6debe.svs	a02e852c62b36b3363912f2a51a7d2af	107010111	released
34	500ec682-07bb-41e1-8072-cc9ecfd55485	TCGA-IB-7893-01A-01-TS1.dae5a181-2465-4583-91f4-8c4ebfa555f3.svs	0471ee7e95d1520406910379508b00b9	68490773	released
37	2d5c32c6-b6a6-4d6f-807c-67a787392920	TCGA-HZ-8005-01A-01-TS1.69bb1b1f-0daa-4ee7-9f22-bb6570f407fb.svs	9e7144fe3bb2892c3ffeae466a00e4f3	558764535	released
39	2cbf534b-d45c-4c26-b564-c7b6d4c007eb	TCGA-IB-8126-01A-01-BS1.ccbd18a9-0393-4aac-92ba-8b86f5b6c36a.svs	8d2c47894bbe55f5361c18e0c0bbab92	184947401	released
49	10ac2a8d-951c-4df1-89c1-2eaac55c1485	TCGA-HZ-7918-01A-01-BS1.8ba185af-5bd6-4778-b903-151e5153ec6b.svs	a63cb2efff2698d4441300e873b2d73b	140111747	released
55	1515ea40-0725-456c-9090-12b8a3f9f046	TCGA-HZ-7920-01A-01-BS1.d62132db-964b-4fce-903d-1575c0803c2d.svs	3108062160c585ae353eaa768da62764	85545129	released
56	fd232b29-8298-420c-bd99-c61fc27cc1ad	TCGA-HZ-7920-01A-01-TS1.09dfd140-5ada-400e-a618-fbc2050b7a35.svs	78d6aeba7f21048f4aa09238efc9ee78	61020127	released
59	2bee4a1b-1e0c-406c-b4e3-46c43782ddb7	TCGA-IB-7888-01A-01-TS1.677ed136-6990-43e6-a0b5-7dfb90bcd44c.svs	65329d84760feea3dae664a0ebdcac5d	650369727	released
71	6668d531-59a4-4f2a-a18e-c3f5a19c255d	TCGA-FZ-5919-01A-01-BS1.ba9ad2e1-400c-4866-a636-baeb23232a5f.svs	1d4e19a3d7d6d72f1bcacc6f77d3c655	166898933	released
72	79d3418e-ecc0-4918-9a30-81a97560e2a6	TCGA-FZ-5919-01A-01-TS1.50d5d499-a382-4ac2-a0f6-7e6dac164fbc.svs	c45a1db0c089d52c1810dcb300dfd1fa	150766743	released
75	bf1dc0a3-98b9-4458-8d68-a67f0a660292	TCGA-HZ-8519-01A-01-TS1.4c0c6b3f-0ce2-4a84-bb41-f7e4d6633382.svs	0c0270e509f89b709f55197cf8a34e15	68779975	released
78	2de02640-98ff-45ff-8601-c6d2f6d73970	TCGA-IB-7885-01A-01-BS1.67d6b291-90df-45db-ab0b-6dc94593dd11.svs	7499a0a41c39477572c05d01e3e9b651	363091941	released
81	38944331-a264-4654-a4eb-ca1d6cda280a	TCGA-FZ-5926-01A-01-TS1.4f99909e-f383-4962-ac22-faf93c407c0f.svs	f7706f0a7782eabe3aba78423b75778d	165601973	released
82	5403f9de-7439-442d-bcbb-f581f858fb82	TCGA-FZ-5926-01A-01-BS1.7b19e1e8-24a9-4b0d-9b97-f745aed354e4.svs	cd2fa8856344a8a665c56728e222eef8	104937281	released
88	bc02052c-4b65-494a-afca-0866bf326142	TCGA-HZ-7919-01A-01-TS1.ad96ecf3-ec92-4740-8ef7-ff5f6cb880cb.svs	847d420265ed082d5d7ad6bd9bf2186f	62406577	released
90	dba5afed-cc95-46e0-bdcb-ae448d955b6d	TCGA-FZ-5921-01A-01-BS1.3bf78e84-8c1d-4dd7-8e82-2349a32e8558.svs	aa0083f821f75ad7f8a2d85e2c883843	260330399	released
91	a07ba323-afcd-4fbe-a4c4-05e68166c61e	TCGA-FZ-5921-01A-01-TS1.13dae39f-dfb7-45ac-9fa5-ffc4d5f77388.svs	c5af448df2acd6f75660fba5a067a63a	258752923	released
94	c5d02e6c-2f71-45b7-aa7c-72b152119a76	TCGA-IB-7651-01A-01-BS1.34c1f2c6-99ef-465a-a1c8-a6366e3d482e.svs	38b827663c3262523d7fc720221d0dd8	450599825	released
99	0d957412-7a54-4142-b275-f01e7f68298f	TCGA-IB-8127-01A-01-TS1.b83929e9-8108-4700-8fcc-086ae68b2d62.svs	ffa37391264eb1f4a7f3ebcb8a083f8a	278249095	released
101	ec50d7a9-9d29-485a-b298-b0ac6a8029e8	TCGA-HZ-8636-01A-01-BS1.f063cefa-61a7-43f1-8b79-c22ce0f8e8c9.svs	6c88b23734fa9862d14dbe340ae95e02	264242905	released
104	a88afebc-e899-482d-af1f-bf0bd8ff0a6c	TCGA-IB-7644-01A-01-TS1.8fcd72ca-6fb6-4c0a-9dca-9c13bc4272e8.svs	e3f5cc8b020193db13be91869cbf8e47	29924911	released
105	82ff2d61-a251-4982-8c7e-67ca33f8c489	TCGA-IB-7652-01A-01-TS1.01dc6fd7-bf02-4b49-986c-5b0552fa8eb6.svs	b6fbffbe3e263f124b30a60e70306afa	72175203	released
106	a56f9aee-aa96-407c-a385-fe4a83db000d	TCGA-IB-7652-01A-01-BS1.3efa096d-6f13-4d9e-9732-37ec6c61d25d.svs	0110eb8c5d083a84bcb369e027bf32dd	891937307	released
107	a6373e26-2714-447b-9656-ae829b388170	TCGA-IB-8126-01A-01-TS1.098769c8-f708-45d8-af6e-96747786553a.svs	e9818cfe180556a1fa52874cea2859c9	59408669	released
109	0dfd90a5-96ea-40be-8484-fb9cd13c8265	TCGA-HZ-7923-01A-01-TS1.e1b46c76-7d5f-434e-b613-1ca91c043f06.svs	de71b7fcfd689c6ae977869a8fa04ad6	38884565	released
